,0
60,ОБЛ ВЛАДИМИРСКАЯ
61,ОБЛ ЛЕНИНГРАДСКАЯ
62,ОРЛОВСКАЯ ОБЛ
63,ОБЛ КЕМЕРОВСКАЯ
64,ОМСКАЯ ОБЛ
65,РЕСП ЧЕЧЕНСКАЯ
66,ОБЛ КУРСКАЯ
67,ТУЛЬСКАЯ ОБЛ
68,РЕСП АДЫГЕЯ
69,ТУЛЬСКАЯ ОБЛАСТЬ
70,РЕСПУБЛИКА КОМИ
71,ПРИМОРСКИЙ КРАЙ
72,САМАРСКАЯ ОБЛ
73,СМОЛЕНСКАЯ ОБЛАСТЬ
74,ОБЛ КИРОВСКАЯ
75,САМАРСКАЯ ОБЛАСТЬ
76,РЕСП ДАГЕСТАН
77,ПЕНЗЕНСКАЯ ОБЛ
78,ТВЕРСКАЯ ОБЛ
79,УДМУРТСКАЯ РЕСПУБЛИКА
80,РЕСП КАРЕЛИЯ
81,ОБЛ ТОМСКАЯ
82,РЕСПУБЛИКА БУРЯТИЯ
83,ОБЛ МАГАДАНСКАЯ
84,РЕСП КОМИ
85,ЯРОСЛАВСКАЯ ОБЛ
86,ОРЛОВСКАЯ ОБЛАСТЬ
87,ТОМСКАЯ ОБЛАСТЬ
88,РЕСП МАРИЙ ЭЛ
89,ОБЛ ИВАНОВСКАЯ
90,КРАЙ КРАСНОДАРСКИЙ
91,РЕСПУБЛИКА АДЫГЕЯ
92,САРАТОВСКАЯ ОБЛАСТЬ
93,ЕВРЕЙСКАЯ АОБЛ
94,ХАКАСИЯ РЕСП
95,ПСКОВСКАЯ ОБЛ
96,КРАЙ АЛТАЙСКИЙ
97,РЕСП КАБАРДИНО-БАЛКАРСКАЯ
98,ТЮМЕНСКАЯ ОБЛ
99,КРАЙ ПЕРМСКИЙ
100,АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - Ю
101,БАШКОРТОСТАН
102,ОБЛ ТАМБОВСКАЯ
103,ТЫВА РЕСП
104,ОБЛ НОВГОРОДСКАЯ
105,ОБЛ ЛИПЕЦКАЯ
106,ОБЛ ТУЛЬСКАЯ
107,ПСКОВСКАЯ ОБЛАСТЬ
108,ВОЛОГОДСКАЯ ОБЛАСТЬ
109,САХА /ЯКУТИЯ/ РЕСП
110,ОМСКАЯ ОБЛАСТЬ
111,АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
112,ТАМБОВСКАЯ ОБЛ
113,РЕСП СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ
114,ЛЕНИНГРАДСКАЯ ОБЛ
115,ОБЛ ТВЕРСКАЯ
116,ПЕНЗЕНСКАЯ ОБЛАСТЬ
117,УЛЬЯНОВСКАЯ ОБЛАСТЬ
118,СМОЛЕНСКАЯ ОБЛ
119,Г. САНКТ-ПЕТЕРБУРГ
120,ТОМСКАЯ ОБЛ
121,РЯЗАНСКАЯ ОБЛ
122,САХАЛИНСКАЯ ОБЛАСТЬ
123,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ
124,БАШКОРТОСТАН РЕСП
125,КРАЙ КАМЧАТСКИЙ
126,РЕСП МОРДОВИЯ
127,РЕСПУБЛИКА КАЛМЫКИЯ
128,РЕСП АЛТАЙ
129,ОБЛ БРЯНСКАЯ
130,РЕСП ТАТАРСТАН
131,МОСКОВСКАЯ ОБЛАСТЬ
132,КАБАРДИНО-БАЛКАРСКАЯ РЕСП
133,ЧУВАШСКАЯ РЕСПУБЛИКА
134,АО ЯМАЛО-НЕНЕЦКИЙ
135,ОБЛ ПЕНЗЕНСКАЯ
136,КРАЙ ПРИМОРСКИЙ
137,САХАЛИНСКАЯ ОБЛ
138,КРАЙ КРАСНОЯРСКИЙ
139,ОРЕНБУРГСКАЯ ОБЛАСТЬ
140,РЯЗАНСКАЯ ОБЛАСТЬ
141,РЕСПУБЛИКА КАРЕЛИЯ
142,ОБЛ СМОЛЕНСКАЯ
143,ОБЛ КАЛИНИНГРАДСКАЯ
144,РЕСПУБЛИКА ТЫВА
145,ОБЛ САРАТОВСКАЯ
146,МУРМАНСКАЯ ОБЛ
147,ТАМБОВСКАЯ ОБЛАСТЬ
148,ОБЛ РОСТОВСКАЯ
149,РЕСПУБЛИКА МАРИЙ ЭЛ
150,АСТРАХАНСКАЯ ОБЛАСТЬ
151,КУРСКАЯ ОБЛ
152,СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП
153,НИЖЕГОРОДСКАЯ ОБЛ
154,РЕСПУБЛИКА МОРДОВИЯ
155,НОВОСИБИРСКАЯ ОБЛ
156,ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП
157,РЕСП САХА /ЯКУТИЯ/
158,РЕСП КАЛМЫКИЯ
159,НЕНЕЦКИЙ АО
160,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
161,ЗАБАЙКАЛЬСКИЙ КРАЙ
162,ВОЛОГОДСКАЯ
163,АРХАНГЕЛЬСКАЯ
164,РЕСП УДМУРТСКАЯ
165,Г МОСКВА
166,БУРЯТИЯ РЕСП
167,РЕСП ТЫВА
168,ПЕРМСКАЯ ОБЛ
169,ОБЛ РЯЗАНСКАЯ
170,КАЛМЫКИЯ РЕСП
171,Г. МОСКВА
172,КЕМЕРОВСКАЯ ОБЛ
173,КАБАРДИНО-БАЛКАРСКАЯ
174,КРАЙ ХАБАРОВСКИЙ
175,ОБЛ ЯРОСЛАВСКАЯ
176,МУРМАНСКАЯ ОБЛАСТЬ
177,ВОЛОГОДСКАЯ ОБЛ
178,ОБЛ УЛЬЯНОВСКАЯ
179,КЕМЕРОВСКАЯ ОБЛАСТЬ
180,ИРКУТСКАЯ ОБЛ
181,ВЛАДИМИРСКАЯ ОБЛ
182,АСТРАХАНСКАЯ ОБЛ
183,КУРСКАЯ ОБЛАСТЬ
184,КУРГАНСКАЯ ОБЛ
185,КУРГАНСКАЯ ОБЛАСТЬ
186,ВОРОНЕЖСКАЯ ОБЛ
187,ОБЛ САХАЛИНСКАЯ
188,БЕЛГОРОДСКАЯ ОБЛ
189,РОСТОВСКАЯ
190,ВОЛГОГРАДСКАЯ ОБЛАСТЬ
191,АСТРАХАНСКАЯ
192,ЧУКОТСКИЙ АО
193,ГОРЬКОВСКАЯ ОБЛ
194,НОВГОРОДСКАЯ ОБЛ
195,КАЛИНИНГРАДСКАЯ ОБЛ
196,ОМСКАЯ
197,КОМИ РЕСП
198,СЕВ. ОСЕТИЯ - АЛАНИЯ
199,САМАРСКАЯ
200,ВОЛГОГРАДСКАЯ ОБЛ
201,ОБЛ ОРЛОВСКАЯ
202,БЕЛГОРОДСКАЯ ОБЛАСТЬ
203,БУРЯТИЯ
204,ВЛАДИМИРСКАЯ ОБЛАСТЬ
205,ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -
206,РЕСП ИНГУШЕТИЯ
207,КРАСНОДАРСКИЙ
208,АМУРСКАЯ ОБЛАСТЬ
209,ЛЕНИНГРАДСКАЯ
210,БРЯНСКАЯ ОБЛ
211,ЧЕЧЕНСКАЯ РЕСП
212,ЧЕЧЕНСКАЯ РЕСПУБЛИКА
213,РЕСПУБЛИКАТАТАРСТАН
214,АДЫГЕЯ РЕСП
215,ОБЛ ОМСКАЯ
216,ТОМСКАЯ
217,РОССИЯ
218,МАРИЙ ЭЛ РЕСП
219,КИРОВСКАЯ ОБЛ
220,ВОРОНЕЖСКАЯ ОБЛАСТЬ
221,МОРДОВИЯ РЕСП
222,ЛИПЕЦКАЯ ОБЛ
223,ХАКАСИЯ
224,КОСТРОМСКАЯ ОБЛ
225,КОМИ
226,КАЛУЖСКАЯ ОБЛ
227,ЧИТИНСКАЯ ОБЛ
228,БРЯНСКАЯ ОБЛАСТЬ
229,АМУРСКАЯ ОБЛ
230,ЧУВАШСКАЯ РЕСП
231,МОСКОВСКАЯ
232,КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП
233,98
234,МЫТИЩИНСКИЙ Р-Н
235,АРХАНГЕЛЬСКАЯ ОБЛ
236,СТАВРОПОЛЬСКИЙ
237,ИВАНОВСКАЯ ОБЛАСТЬ
238,КАЛУЖСКАЯ ОБЛАСТЬ
239,КАМЧАТСКИЙ КРАЙ
240,ОБЛ. ВЛАДИМИРСКАЯ
241,РЕСПУБЛИКА ДАГЕСТАН
242,ИВАНОВСКАЯ ОБЛ
243,КРАЙ.ПЕРМСКИЙ
244,КАЛУЖСКАЯ
245,КРАЙ. СТАВРОПОЛЬСКИЙ
246,РЕСПУБЛИКА ХАКАСИЯ
247,РЕСПУБЛИКА САХА
248,КОСТРОМСКАЯ ОБЛАСТЬ
249,АО НЕНЕЦКИЙ
250,МОСКВОСКАЯ ОБЛ
251,ДАГЕСТАН РЕСП
252,КРАЙ. КРАСНОЯРСКИЙ
253,ОБЛ.РОСТОВСКАЯ
254,ЛИПЕЦКАЯ ОБЛАСТЬ
255,ЕВРЕЙСКАЯ АВТОНОМНАЯ
256,ЭВЕНКИЙСКИЙ АО
257,КАМЧАТСКАЯ ОБЛАСТЬ
258,РЕСПУБЛИКА АЛТАЙ
259,АЛТАЙСКИЙ КРАЙ
260,НОВОСИБИРСКАЯ ОБЛАСТЬ
261,НОВГОРОДСКАЯ ОБЛАСТЬ
262,КАРЕЛИЯ РЕСП
263,ГУСЬ-ХРУСТАЛЬНЫЙ Р-Н
264,КАЛМЫКИЯ
265,ИНГУШЕТИЯ РЕСП
266,АЛТАЙСКИЙ
267,КИРОВСКАЯ ОБЛАСТЬ
268,ОБЛ. МУРМАНСКАЯ
269,КАРЕЛИЯ
270,РЕСП. КОМИ
271,ОБЛ. ЛИПЕЦКАЯ
272,БРЯНСКИЙ
273,ОБЛ. СВЕРДЛОВСКАЯ
274,ПЕРМСКИЙ
275,ОРЁЛ
276,ОБЛ.НИЖЕГОРОДСКАЯ
277,АОБЛ ЕВРЕЙСКАЯ
278,СВЕРДЛОВСКАЯ
279,ОБЛ.МОСКОВСКАЯ
280,ОБЛ.САРАТОВСКАЯ
281,КЕМЕРОВСКАЯ
282,ДАЛЬНИЙ ВОСТОК
283,ОБЛ. НОВОСИБИРСКАЯ
284,ОБЛ. КУРГАНСКАЯ
285,74
286,ОБЛ. БЕЛГОРОДСКАЯ
287,МАГАДАНСКАЯ ОБЛАСТЬ
288,ВОЛОГОДСКАЯ ОБЛ.
289,ТЮМЕНСКАЯ
290,КАРАЧАЕВО-ЧЕРКЕССКАЯ
291,ОБЛ. ЧЕЛЯБИНСКАЯ
292,САХА /ЯКУТИЯ/
293,Г.МОСКВА
294,Г.ОДИНЦОВО МОСКОВСКАЯ ОБЛ
295,НОВОСИБИРСКАЯ
296,РЕСП.БАШКОРТОСТАН
297,КРАЙ. ПЕРМСКИЙ
298,РЕСП ЧУВАШСКАЯ - ЧУВАШИЯ
299,ОБЛ. КИРОВСКАЯ
300,КАЛИНИНГРАДСКАЯ ОБЛ.
